preygene,SARS-CoV2_E,SARS-CoV2_M,SARS-CoV2_N,SARS-CoV2_nsp1,SARS-CoV2_nsp2,SARS-CoV2_nsp4,SARS-CoV2_nsp5,SARS-CoV2_nsp5_C145A,SARS-CoV2_nsp6,SARS-CoV2_nsp7,SARS-CoV2_nsp8,SARS-CoV2_nsp9,SARS-CoV2_nsp10,SARS-CoV2_nsp11,SARS-CoV2_nsp12,SARS-CoV2_nsp13,SARS-CoV2_nsp14,SARS-CoV2_nsp15,SARS-CoV2_orf3a,SARS-CoV2_orf3b,SARS-CoV2_orf6,SARS-CoV2_orf7a,SARS-CoV2_orf8,SARS-CoV2_orf9b,SARS-CoV2_orf9c,SARS-CoV2_orf10,SARS-CoV2_Spike
MMP24OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ESYT2,0,10,0,0,0,0,0,0,0.33,0,0,0,0,0.67,0,0,0,0,0,0,0.33,0,12,0,16.33,0,0
MED19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.67,0,0,0,0,0,0,0,0
TMEM223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0
TMEM120B,0,0.67,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0
FAM168B,0,0,0,0,0,0,0,0,1.33,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33
ILVBL,0,2.33,0,0,0,0.33,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,3.33,0,0
FAM234B,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0
SBNO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
TUBAL3,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.67,0,0.67,0,0
FBLL1,0.33,0.33,0,0,0.33,0,0,0,0,0,0.67,0.67,0,0.67,0,0,0,0,0.33,0.33,0,0,0.67,0,0,0,0.33
UNC119B,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METTL15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0,0,0,0,0,0,0,0,0,0
TBKBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,0,0,0,0,0,0,0,0
CEBPZOS,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMCO5B,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCRIP1,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0
C11orf98,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,2,0
SLC35A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0
MIEF1,0,0,0,0,0.67,0.33,0,0,1,0.33,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0.33
DNASE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0
AGPS,0,0.33,0,0,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0.67,0,0
UBXN8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0
KIF2A,0.67,0,0,1,1,0,0,0,2.33,0,0,0,0,1,0,1.33,0,0,0,0.67,1,0,0,0,0,0,1
TK2,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYO1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0
SNAP23,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,1
HAX1,0.67,16.67,0,0,0,0.33,0,0,1,3,0.67,0,0,1,0.33,0,0,0,0.67,2,0,4.67,2,0,7.67,6.67,0
GTPBP1,1,0,0,0,1,0,0,0,0,0,1.67,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
C11orf58,0,0,0,0,0,0,0.33,0,1,0,0.33,0,0,0,0,0,0,0,0.33,0,0,0,0,0.67,0,0,0
AP3B1,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0
NDUFS8,0,0.33,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0
GET1,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0
PGRMC1,0,7.33,0,0,3,3.67,0,0,1.67,7.67,1,0,0,0,0,0,0,0,0.67,0,1,1,2,0,9.67,1.33,0
CDC7,0,1,0,0,0,0,0,0,0,0.67,0.33,0,0,0.33,0,0,0,0,0,0,0,0.33,2.33,0,2,0.33,0
PDHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.67,0,0,0,0
SLC33A1,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IPO5,0,15,0,0,1.33,0,0,0,2,2,0,0,0,0,0,0,0,0,0.67,0,0,20.67,0,0,5,0,0
POLRMT,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAP18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IGF2BP3,0,0,1.67,0,0.33,0,0,0,0,0,11.67,0,0,0.33,0,0,0,0,0.33,0,0,0,3.33,0,0,0,0
RTCA,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIK3C2A,0.67,0,0,0,0.33,0.33,0.33,0,0.33,0,0,0,0,0,0,0.67,0,0,0,0.33,0.33,0,0.33,0.33,0.33,0.67,0.33
IFRD1,0.67,0.33,0,0,0.33,0,0,0,1,0,0.33,0,0.67,0,0,0.33,0,0.33,0.67,0,0,0.33,0,0,0,0,0.67
PLOD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0,0,0
HMGN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0
NDUFA4,1,2.67,0,0,0,1,0,0,1.33,1.33,3.67,0,1,1.67,1,0,0,0,1.33,0,0,1.33,3.67,2.33,2.33,2,0
PSMD14,0,0.33,0,0,0,0.67,0,0,0.33,0,0,0,0,0,0,0,0,0,0.33,0,0,0.33,0.33,0,0.67,0,0
ZNF593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,1.67,0,0,0,0,0,1.33
STK25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0
PES1,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPHOSPH10,0,0,0.33,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOP56,1.67,0,12,0,0,0,0,0,2,0,25.33,2.33,0,0,0,0,0,0,7,2.33,0,0,2,0,3.67,2.67,0
DDX3X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0
PPP6C,0.33,2.33,0,0,0,0,0,0,0.33,0.33,1,0,0,0,0,0,0,0,0,0,0,1,1.33,0.33,1.67,0.67,0
SCD,0,0.33,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0
NEMP1,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0
TRAFD1,0,2,0,0,0,0,0,0,0.67,0.33,0.33,0,0,0,1.67,0,0,0,0,0,0,0.67,1.33,0,0.67,1,0
GAPDHS,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0
NDUFAB1,0,0.33,0,0,0,0.33,0,0,1.33,0,0.33,1.33,0,0,0.33,0,0,0,0,0,0,0,0,0,1.33,0,0
CIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,6,0,0,0,0,0,0,0,0.33,0,0,0
COPE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0
AP3D1,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,1,0.67,0,0
GOSR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.67,0
IRS4,2,5,0,1.33,0.67,1.67,0,0,1,1.33,1,2.33,0.33,2.33,3.67,6.33,0.33,0.67,0.67,0.67,0,4.33,16.67,1.33,8,3.33,1.67
TOR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TOR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
STX16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0
EI24,0,2.33,0,0,0,0.33,0,0,0.67,1,0,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0,3,0.33,0
RIOK3,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPA2,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0
MAP2K7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACOT8,0,1,0,0,0,0,0,0,0,0,1.33,0,0,2,0.33,0,0,0,0,0,0,2.67,2,0,2,0,0
CDIPT,0.33,5,0,0,0,0.33,0,0,1,1.33,1.33,0,0,0.33,0,0,0,0,0.33,0,0.33,1.33,1.33,0,3.33,0.67,0.67
SLC9A3R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
TPP1,0,0.67,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0
TCERG1,0.33,0,0,0,0,0,0.33,0,0.67,0,0,0,0,1.33,0,2,0,0,0,0,0.33,0,0.33,0,0,0,0.33
TNPO2,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0.33,0,0
SCAMP3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0
BCKDK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0
MGST3,0,4.67,0,0,0.67,0.67,0,0,4,1,0,0,0,0.67,0,0,0,0,4,0,1.67,0,1,0,5.67,0,0
TIMM23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0
HAT1,0,1,0,0,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UQCRQ,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0
AURKA,0,0,0,4.67,3.67,2,0,0,2.67,0,0,0,0,2,0,0,0,0,2.33,0,0,0,0,0,0,0,0
PPP1R12A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SLC27A2,0,0,0,0,4.67,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPDL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.67,0,0,0,0.67,0,0,0
XPO1,0,23.67,0,0,0,1,0,0,0.33,1.33,0,0,0,0,0,0,0,0,0,0,0,15.67,2,0.33,18,0.33,0
BTAF1,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0
AGPAT2,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0
SCAMP2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0
ARPC3,0,0,0,0,2,0,0,0,2,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BET1,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLR1C,0,0,0.67,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0.33,0.33,0,0,0,0.33,0,0,0.67
PLSCR1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRMC2,0,2.33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,1.67,0,0
WDR46,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NKRF,0,0,0,0,0,0,0,0,0,0,24.33,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0
GNPAT,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEPROT,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0
RER1,0,3,0,0,0,0,0,0,1.67,1.67,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,4.33,0,0
SURF4,0,6,0,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0,0,5.67,1.33,0
SPTLC1,0,9.67,0,0,0,2.33,0.33,0,1.67,8,5.33,0,0,3.67,0,0,0,0,0,0,0.67,10,8.67,0,14.33,3.33,0
SPTLC2,0,1,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0.33,0,0
TM9SF1,0,3.67,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0
PPM1G,0,0,0,0,0,0,0,0,0,0,1,0.33,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0
EIF3D,0.67,0.67,1.33,0,0,0,0,0,1,0,0,0,0,0.67,0,1.33,0,0,0.67,0,0,0,0.67,0,0,0,0
EIF3H,0.67,1,0.67,0,0.33,0.33,0,0.33,1,0.67,0.67,0,0,0,0.33,0.33,0,1,0.33,0,0.33,0,0.33,0,1,0,1
IPO8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,2.33,0,0
STX7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0
SLC31A1,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC4,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
CD3EAP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4HA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0
NUP42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHX15,0,0,1.67,0,0,0,0,0,0,0,15.33,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0
RNMT,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,1,0,0
RRP8,0,0,1.33,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYB5B,0,0,0,0,1,0.33,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHGDH,3.67,19,0,0,5,8.67,0,0,10.67,17,6,0,0,11.33,0,4,6.33,0,9,6,3.67,12.33,13.33,3,19.33,13,3.33
PSMD3,0,4.67,0,0,0,3.33,0,0,1,1,0.67,0,0,1,0.33,0.33,0,0,1,0,0,4,8,0.67,11.67,2.67,0
RBFOX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0
ZW10,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,12.33,0,0
SART1,1,0,0,0,0,0,0,0,1.33,0,1,0,0,1,0,0,0,0,1.67,0,0,0,0,0,0,0,0
GPAA1,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0
EEF1E1,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0.67,0,0.33
MSI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPR,0,0,5.67,0,3.67,0,0,0,0,0,16.33,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0,0
TXNL1,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMC8,0,0,0,0,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0
COCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0
PPIH,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
