"","ROW_NAMES","SARS.CoV2_E","SARS.CoV2_M","SARS.CoV2_N","SARS.CoV2_nsp1","SARS.CoV2_nsp2","SARS.CoV2_nsp4","SARS.CoV2_nsp5","SARS.CoV2_nsp5_C145A","SARS.CoV2_nsp6","SARS.CoV2_nsp7","SARS.CoV2_nsp8","SARS.CoV2_nsp9","SARS.CoV2_nsp10","SARS.CoV2_nsp11","SARS.CoV2_nsp12","SARS.CoV2_nsp13","SARS.CoV2_nsp14","SARS.CoV2_nsp15","SARS.CoV2_orf3a","SARS.CoV2_orf3b","SARS.CoV2_orf6","SARS.CoV2_orf7a","SARS.CoV2_orf8","SARS.CoV2_orf9b","SARS.CoV2_orf9c","SARS.CoV2_orf10","SARS.CoV2_Spike","clusterNum","tsne1","tsne2"
"1","MMP24OS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.064142,0,0,2,11.8825315723759,36.997808097964
"2","ESYT2",0,9.843679,0,0,0,0,0,0,-0.5426739,0,0,0,0,-0.2777941,0,0,0,0,0,0,-0.1285107,0,16.13571,0,19.21719,0,0,2,37.6012061317955,27.1570972879237
"3","MED19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293838,0,1.941813,0,0,0,0,0,0,0,0,1,-15.3348984711109,15.8776957986605
"4","TMEM223",0,0,0,0,0,0,0,0,0,2.833876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7710634,0,0,3,38.8790021181812,-7.87820067073548
"5","TMEM120B",0,0.3323741,0,0,0,0.2433109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.999151,0,0,2,30.6747749446426,34.9942996489214
"6","FAM168B",0,0,0,0,0,0,0,0,1.455906,0,0,26.57753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702573,4,-38.8282936831956,-27.5181747633926
"7","ILVBL",0,2.273687,0,0,0,-0.00966548,0,0,3.211048,1.114537,0,0,0,0,0,0,0,0,0,0,0,0,-0.2642463,0,3.44639,0,0,2,14.2472494345566,17.2598960068154
"8","FAM234B",0,0,0,0,0,0.7269482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.433533,0,0,0,0,5,19.6404355994186,-22.3922173768015
"9","SBNO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.65817,0,0,0,0,0,0,0,0,0,0,0,0,8,6.43095421513794,-56.4656872361665
"10","TUBAL3",0,0.1849043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4157676,0.9691242,0,0.6502467,0,0,5,19.2320048391327,-17.1339565128564
"11","FBLL1",0.5058744,-0.09423222,0,0,0.3093735,0,0,0,0,0,0.1300544,1.221658,0,1.156895,0,0,0,0,0.214839,0.7530441,0,0,0.4023924,0,0,0,0.4732876,1,-4.89162838072148,-11.8590775965429
"12","UNC119B",0,0,0,0,0,0,0,0,0,0,0,5.004608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-17.4139996783068,-27.9898687644492
"13","METTL15",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7498791,0,2.12698,0,0,0,0,0,0,0,0,0,0,0,4,-28.0304759771233,-26.2467803521092
"14","TBKBP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26897,0,0,0,0,0,0,0,0,0,0,0,4,-30.1426384977155,-39.7621287046815
"15","CEBPZOS",0,0,0,0,0,0,0,0,0,5.588988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43.2498806958513,-10.0537213408049
"16","TMCO5B",0,0,0,0,0,0,0,3.765946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-24.9167779393359,-10.1854101834268
"17","MCRIP1",0,0,1.73548,0,0,0,0,0,0,0,0,0,0,0,0,0.4301538,0,0,0,0,0,0,0,0,0,0,0,7,-32.9989695649633,18.6053151327965
"18","C11orf98",0,0,0,0,0,0,0,0,3.31017,0,0,0,0,0,0,0,0,0,3.567626,0,0,0,0,0,0,5.112348,0,6,15.4674963856675,-8.47832931510504
"19","SLC35A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.447117,0,0,2,22.9107059435624,37.8049305020255
"20","MIEF1",0,0,0,0,1.206606,0.2702971,0,0,1.760748,0.281901,0,2.379072,0,0,0,-0.02649727,0,0,0,0,0,0,0,0,0,0,0.5245116,4,-14.9445393234091,-26.6746296459795
"21","DNASE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.241931,0,0,0,0,5,26.8172761695816,-29.0316426934176
"22","AGPS",0,-0.3776626,0,0,0,0,0,0,0,22.90354,0,0,0,0,0,0,0,0,0,0,0,0,2.302161,0,-0.4919346,0,0,3,50.5722021825232,-11.0909261885913
"23","UBXN8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51126,0,0,2,29.6211350544809,35.6905568524851
"24","KIF2A",0.9899706,0,0,2.868528,1.282588,0,0,0,3.932627,0,0,0,0,1.363617,0,0.5250214,0,0,0,1.4918,2.096994,0,0,0,0,0,1.779298,6,-4.35057292958771,9.14459421008605
"25","TK2",0,0,0,0,0,0,0,0,0,0,0,27.58179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-38.9077596129131,-27.5218112375785
"26","MYO1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0891,0,0,0,0,0,0,0,0,0,0,0,4,-30.1967273877302,-40.1599279900639
"27","SNAP23",0,0,0,1.11187,0,0,0,0,0,0,0,0,0,0,0,0.883418,0,0,0,0,0,0,0,0,0,0,3.388736,1,-11.9492235218929,0.362841801607871
"28","HAX1",-0.05186717,21.97389,0,0,0,-0.5460489,0,0,-0.7130273,1.763234,-1.423375,0,0,-0.1913642,-0.436376,0,0,0,-0.6427572,3.53042,0,3.480569,-1.248682,0,1.870651,10.5273,0,2,38.2465549326851,12.7722064439173
"29","GTPBP1",2.445442,0,0,0,1.849984,0,0,0,0,0,1.521768,0,0,0,0,2.740234,0,0,0,0,0,0,0,0,0,0,0,1,-12.2068388371609,-9.34866350327666
"30","C11orf58",0,0,0,0,0,0,1.374636,0,2.166213,0,0.01538306,0,0,0,0,0,0,0,0.3998665,0,0,0,0,1.574811,0,0,0,6,-1.83255343651518,6.46898839229908
"31","AP3B1",19.20468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1009607,0,0,0,0,0,0,0,0,0,0,0,1,-16.7312813671217,-8.80366879911718
"32","NDUFS8",0,0.3195338,0,0,0,0,0,0,0,0,0.2441216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9235854,0,0,2,9.48466217873058,22.8505620377703
"33","GET1",0,0,0,0,0,0,0,0,0,0.5713023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45053,0,0,2,14.6046212783092,35.6874106214674
"34","PGRMC1",0,4.874245,0,0,2.983969,3.385935,0,0,-0.05304968,12.99978,-1.555525,0,0,0,0,0,0,0,-0.5299041,0,0.7104501,-0.6274179,-0.911807,0,6.227877,0.1786218,0,3,49.0165196600758,-8.41998923894493
"35","CDC7",0,0.3715156,0,0,0,0,0,0,0,0.6402596,-0.3186707,0,0,0.1870868,0,0,0,0,0,0,0,-0.01239527,3.251134,0,1.533358,0.1448633,0,5,28.6597345678661,-23.9147471149339
"36","PDHX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.345766,0,0,0,0,1.089941,0,0,0,0,1,-18.6133931454993,-15.7635113325045
"37","SLC33A1",0,0.9707125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.551319,0,0,2,13.4246914469069,22.6421454327831
"38","IPO5",0,18.40612,0,0,0.03624368,0,0,0,-0.01082972,0.3934897,0,0,0,0,0,0,0,0,-0.6330655,0,0,46.45155,0,0,-0.8476076,0,0,2,40.4227254086153,20.4742845423607
"39","POLRMT",0,0,0,0,0,0,0,0,0,0,19.90653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-50.3811316419852,28.3346783224875
"40","SAP18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.298705,0,0,0,0,0,0,0,0,1,-18.0204722428693,15.8038857090797
"41","IGF2BP3",0,0,1.055888,0,-0.1302811,0,0,0,0,0,20.0645,0,0,-0.1035415,0,0,0,0,-0.2248156,0,0,0,2.902924,0,0,0,0,7,-51.1028991023444,28.0647958904557
"42","RTCA",0,0,0,0,0,0,0,0,0,0,0.7040893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-17.7302889989987,26.4736738371468
"43","PIK3C2A",1.414076,0,0,0,0.2662833,0.1759829,1.146518,0,0.1208741,0,0,0,0,0,0,0.2292001,0,0,0,0.7099539,0.5350373,0,-0.07859799,0.3138347,-0.2356571,0.9836827,0.4301974,1,-10.3207245051633,-4.52430697476988
"44","IFRD1",1.371309,-0.158387,0,0,0.2452187,0,0,0,1.411116,0,-0.2337992,0,1.637739,0,0,-0.141876,0,0.6654459,0.7804186,0,0,0.07247625,0,0,0,0,1.305148,1,-7.81070996709777,-2.49944683287469
"45","PLOD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.72288,0,0,0,0,5,29.794241782922,-47.0604606930492
"46","HMGN4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28339,0,0,0,0,0,0,0,0,7,-24.6811944630111,14.1419332106666
"47","NDUFA4",0.8606434,0.06465946,0,0,0,-0.008451406,0,0,0.1459424,0.4148148,0.4176769,0,1.258301,1.434595,0.3238905,0,0,0,0.3509829,0,0,0.03578116,1.909439,2.924498,-0.9552462,1.822825,0,8,3.03186373706004,-27.9262540661811
"48","PSMD14",0,0.05220266,0,0,0,1.216576,0,0,0.3103992,0,0,0,0,0,0,0,0,0,0.3612739,0,0,0.2830659,0.1109271,0,0.3808221,0,0,6,5.46800117035486,-6.52351087932307
"49","ZNF593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.791518,0,5.629978,0,0,0,0,0,3.758451,6,5.47881340984658,6.32750638576894
"50","STK25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49861,0,0,0,8,2.14377742131859,-27.0151727672357
"51","PES1",0,0,0,0,0,0,0,0,0,0,13.50571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-46.1136639136391,31.804266320993
"52","MPHOSPH10",0,0,0.2585457,0,0,0,0,0,0,0,5.385578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-33.8135376274289,35.5824392622458
"53","NOP56",0.9729094,0,16.37735,0,0,0,0,0,-0.5463743,0,31.78205,1.160008,0,0,0,0,0,0,7.936191,3.878574,0,0,-1.755296,0,-2.739802,1.093251,0,7,-50.2280171971053,21.6962529790536
"54","DDX3X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.546,0,0,0,0,0,0,0,0,0,0,4,-37.0038711925609,-12.5454399853866
"55","PPP6C",0.2771358,2.273687,0,0,0,0,0,0,-0.06477429,0.001938415,-0.09855855,0,0,0,0,0,0,0,0,0,0,0.8295489,0.7888164,0.1281863,0.5758212,0.6067603,0,2,24.0669346077969,7.46615478686367
"56","SCD",0,0.01666201,0,0,0,0,0,0,0,1.167977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.977399,0,0,2,22.1131230796578,34.5887691289861
"57","NEMP1",0,0.550763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4524283,0,0,6,9.78580328696973,-0.791697591863642
