ROW_NAMES	SARS.CoV2_E	SARS.CoV2_M	SARS.CoV2_N	SARS.CoV2_nsp1	SARS.CoV2_nsp2	SARS.CoV2_nsp4	SARS.CoV2_nsp5	SARS.CoV2_nsp5_C145A	SARS.CoV2_nsp6	SARS.CoV2_nsp7	SARS.CoV2_nsp8	SARS.CoV2_nsp9	SARS.CoV2_nsp10	SARS.CoV2_nsp11	SARS.CoV2_nsp12	SARS.CoV2_nsp13	SARS.CoV2_nsp14	SARS.CoV2_nsp15	SARS.CoV2_orf3a	SARS.CoV2_orf3b	SARS.CoV2_orf6	SARS.CoV2_orf7a	SARS.CoV2_orf8	SARS.CoV2_orf9b	SARS.CoV2_orf9c	SARS.CoV2_orf10	SARS.CoV2_Spike	
MMP24OS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.064142	0	0	
ESYT2	0	9.843679	0	0	0	0	0	0	-0.5426739	0	0	0	0	-0.2777941	0	0	0	0	0	0	-0.1285107	0	16.13571	0	19.21719	0	0	
MED19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.293838	0	1.941813	0	0	0	0	0	0	0	0	
TMEM223	0	0	0	0	0	0	0	0	0	2.833876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7710634	0	0	
TMEM120B	0	0.3323741	0	0	0	0.2433109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.999151	0	0	
FAM168B	0	0	0	0	0	0	0	0	1.455906	0	0	26.57753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.702573	
ILVBL	0	2.273687	0	0	0	-0.00966548	0	0	3.211048	1.114537	0	0	0	0	0	0	0	0	0	0	0	0	-0.2642463	0	3.44639	0	0	
FAM234B	0	0	0	0	0	0.7269482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.433533	0	0	0	0	
SBNO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.65817	0	0	0	0	0	0	0	0	0	0	0	0	
TUBAL3	0	0.1849043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4157676	0.9691242	0	0.6502467	0	0	
FBLL1	0.5058744	-0.09423222	0	0	0.3093735	0	0	0	0	0	0.1300544	1.221658	0	1.156895	0	0	0	0	0.214839	0.7530441	0	0	0.4023924	0	0	0	0.4732876	
UNC119B	0	0	0	0	0	0	0	0	0	0	0	5.004608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
METTL15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7498791	0	2.12698	0	0	0	0	0	0	0	0	0	0	0	
TBKBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.26897	0	0	0	0	0	0	0	0	0	0	0	
CEBPZOS	0	0	0	0	0	0	0	0	0	5.588988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TMCO5B	0	0	0	0	0	0	0	3.765946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MCRIP1	0	0	1.73548	0	0	0	0	0	0	0	0	0	0	0	0	0.4301538	0	0	0	0	0	0	0	0	0	0	0	
C11orf98	0	0	0	0	0	0	0	0	3.31017	0	0	0	0	0	0	0	0	0	3.567626	0	0	0	0	0	0	5.112348	0	
SLC35A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.447117	0	0	
MIEF1	0	0	0	0	1.206606	0.2702971	0	0	1.760748	0.281901	0	2.379072	0	0	0	-0.02649727	0	0	0	0	0	0	0	0	0	0	0.5245116	
DNASE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.241931	0	0	0	0	
AGPS	0	-0.3776626	0	0	0	0	0	0	0	22.90354	0	0	0	0	0	0	0	0	0	0	0	0	2.302161	0	-0.4919346	0	0	
UBXN8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.51126	0	0	
KIF2A	0.9899706	0	0	2.868528	1.282588	0	0	0	3.932627	0	0	0	0	1.363617	0	0.5250214	0	0	0	1.4918	2.096994	0	0	0	0	0	1.779298	
TK2	0	0	0	0	0	0	0	0	0	0	0	27.58179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MYO1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0891	0	0	0	0	0	0	0	0	0	0	0	
SNAP23	0	0	0	1.11187	0	0	0	0	0	0	0	0	0	0	0	0.883418	0	0	0	0	0	0	0	0	0	0	3.388736	
HAX1	-0.05186717	21.97389	0	0	0	-0.5460489	0	0	-0.7130273	1.763234	-1.423375	0	0	-0.1913642	-0.436376	0	0	0	-0.6427572	3.53042	0	3.480569	-1.248682	0	1.870651	10.5273	0	
GTPBP1	2.445442	0	0	0	1.849984	0	0	0	0	0	1.521768	0	0	0	0	2.740234	0	0	0	0	0	0	0	0	0	0	0	
C11orf58	0	0	0	0	0	0	1.374636	0	2.166213	0	0.01538306	0	0	0	0	0	0	0	0.3998665	0	0	0	0	1.574811	0	0	0	
AP3B1	19.20468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.1009607	0	0	0	0	0	0	0	0	0	0	0	
NDUFS8	0	0.3195338	0	0	0	0	0	0	0	0	0.2441216	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9235854	0	0	
GET1	0	0	0	0	0	0	0	0	0	0.5713023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45053	0	0	
PGRMC1	0	4.874245	0	0	2.983969	3.385935	0	0	-0.05304968	12.99978	-1.555525	0	0	0	0	0	0	0	-0.5299041	0	0.7104501	-0.6274179	-0.911807	0	6.227877	0.1786218	0	
CDC7	0	0.3715156	0	0	0	0	0	0	0	0.6402596	-0.3186707	0	0	0.1870868	0	0	0	0	0	0	0	-0.01239527	3.251134	0	1.533358	0.1448633	0	
PDHX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.345766	0	0	0	0	1.089941	0	0	0	0	
SLC33A1	0	0.9707125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.551319	0	0	
IPO5	0	18.40612	0	0	0.03624368	0	0	0	-0.01082972	0.3934897	0	0	0	0	0	0	0	0	-0.6330655	0	0	46.45155	0	0	-0.8476076	0	0	
POLRMT	0	0	0	0	0	0	0	0	0	0	19.90653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
SAP18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.298705	0	0	0	0	0	0	0	0	
IGF2BP3	0	0	1.055888	0	-0.1302811	0	0	0	0	0	20.0645	0	0	-0.1035415	0	0	0	0	-0.2248156	0	0	0	2.902924	0	0	0	0	
RTCA	0	0	0	0	0	0	0	0	0	0	0.7040893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PIK3C2A	1.414076	0	0	0	0.2662833	0.1759829	1.146518	0	0.1208741	0	0	0	0	0	0	0.2292001	0	0	0	0.7099539	0.5350373	0	-0.07859799	0.3138347	-0.2356571	0.9836827	0.4301974	
IFRD1	1.371309	-0.158387	0	0	0.2452187	0	0	0	1.411116	0	-0.2337992	0	1.637739	0	0	-0.141876	0	0.6654459	0.7804186	0	0	0.07247625	0	0	0	0	1.305148	
PLOD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.72288	0	0	0	0	
HMGN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.28339	0	0	0	0	0	0	0	0	
